Stock,1,2,3,4,5,6,7,8,9
CVS,3560,2509,2012,791,581,768,707,617,446
DHI,2671,1624,854,508,357,172,231,242,456
DHR,2947,1267,1402,1316,1009,717,768,587,498
DRI,1808,1110,1239,473,504,427,353,327,135
DVA,575,1406,544,363,712,922,1075,502,155
DE,4233,1729,2043,1271,368,726,1103,386,312
DAL,699,227,413,697,539,182,189,229,184
XRAY,1051,1285,1394,1372,1491,670,556,337,177
DVN,1772,1497,1170,988,1498,557,499,509,363
DXCM,1440,285,252,279,205,348,447,348,271
FANG,482,103,108,150,84,228,279,259,292
DLR,1165,646,477,567,454,123,166,137,254
DFS,790,297,239,490,654,362,359,115,24
DISCA,764,1567,590,278,6,65,383,112,51
DISCK,813,1373,588,59,15,64,54,22,23
DISH,1552,2194,1168,393,411,405,126,40,57
DG,518,372,210,312,362,349,320,121,155
DLTR,1825,367,377,374,500,325,752,1006,894
D,1908,2416,821,997,1432,1309,621,249,452
DPZ,1770,825,306,120,156,353,198,173,165
DOV,3610,2239,1244,959,657,365,389,362,380
DOW,0,21,60,227,61,0,0,0,0
DTE,3235,2290,883,1003,2700,1709,1528,738,684
DUK,2689,1685,2091,909,623,620,658,522,408
DRE,4317,1384,626,143,284,641,446,507,367
DD,3459,1676,1861,894,915,1006,811,803,746
DXC,4411,1998,692,308,248,557,550,543,445
ETFC,1867,1433,596,834,499,149,188,276,211
EMN,3072,796,281,245,304,750,623,217,441
ETN,4807,2290,1765,1151,522,251,327,433,625
EBAY,1872,1151,843,211,410,355,260,146,274
ECL,5949,1770,1298,953,551,391,415,302,362
EIX,2249,1615,1659,1257,1311,1294,1341,748,467
EW,1390,1183,1086,590,331,138,264,100,61
EA,2157,1271,496,787,1130,525,459,525,450
EMR,3128,1620,1732,1068,1066,931,1369,920,337
ETR,4066,1833,967,1545,920,1050,759,402,629
EOG,1242,727,1789,1216,436,352,638,825,565
EFX,4192,2323,1746,439,426,398,201,215,265
EQIX,1073,658,942,621,392,468,555,285,53
EQR,1433,1543,758,586,1017,951,229,220,78
ESS,2197,1641,462,374,610,359,526,335,105
EL,3488,506,82,247,288,472,380,448,330
RE,1557,1574,187,416,619,1034,654,151,82
EVRG,4613,942,671,1522,806,586,599,998,1254
ES,4321,1890,758,868,1331,764,462,662,935
EXC,2058,3132,2175,2137,1218,245,203,351,423
EXPE,1368,621,787,227,225,153,128,188,110
EXPD,1681,1092,2201,1395,536,807,856,266,225
EXR,987,247,308,227,231,495,578,535,434
XOM,2795,3232,1657,1817,1253,1823,1461,508,224
FFIV,2508,828,519,197,208,263,221,283,321
FB,1071,391,64,57,76,89,169,97,73
FAST,2604,2276,821,414,518,539,517,357,281
FRT,2741,739,1304,1576,1089,1242,1048,1434,768
FDX,4132,942,747,643,447,520,1008,1314,940
FIS,2372,989,164,240,308,202,227,130,200
FITB,3512,2890,1421,730,652,130,301,249,320
FRC,319,560,239,317,278,70,70,148,449
FE,1532,2474,1140,364,12,0,24,53,142
FISV,3147,890,566,1102,723,343,461,654,669
FLT,1197,663,318,79,52,21,39,61,16
FLIR,2486,2036,765,591,551,148,77,115,82
FLS,1084,1341,1731,1883,940,1193,921,716,396
FMC,1209,1253,1557,2402,1415,1182,588,319,280
F,3062,2439,1428,964,1119,778,702,783,896
FTNT,533,821,526,195,59,63,159,291,69
FTV,0,0,0,57,185,243,447,118,0
FBHS,183,168,415,520,610,313,29,18,0
FOXA,0,126,247,2,0,0,0,0,0
FOX,2,128,244,0,0,0,0,0,0
BEN,1624,2653,1804,1084,165,434,566,518,466
FCX,1971,1070,1193,686,381,139,157,348,389
GPS,4472,2449,1036,136,337,221,269,278,360
GRMN,1056,1195,694,640,510,372,145,163,189
IT,2819,1039,745,396,220,208,318,576,457
GD,3422,1398,1806,1541,1314,681,394,235,223
GE,6032,5452,1070,496,139,319,493,443,326
GIS,2975,1872,1203,1720,1058,453,305,299,320
GM,335,1309,781,39,0,0,0,0,0
GPC,3120,2036,798,699,775,489,738,780,770
GILD,1881,957,839,404,369,1224,776,392,367
GPN,1718,1496,259,164,211,236,466,210,180
GL,2675,1495,1017,1268,1022,616,734,867,373
GS,2724,690,0,72,292,433,489,442,228
GWW,4392,2935,1719,663,549,647,563,316,207
HRB,5508,2495,1025,876,661,481,290,302,353
HAL,2595,3086,2538,1830,982,471,215,184,270
HBI,1098,833,82,279,774,274,89,54,40
HIG,911,1094,1466,1438,740,369,161,16,27
HAS,3062,1822,1221,737,155,526,891,1016,775
HCA,668,322,189,149,65,225,438,217,115
PEAK,3115,2586,810,417,496,224,366,379,500
HSIC,1163,1317,407,448,798,1186,556,241,135
HES,2018,941,1627,1516,1154,980,901,787,281
HPE,954,0,0,0,0,39,49,57,129
HLT,67,0,34,480,342,161,283,183,143
HFC,3318,1119,1161,898,437,1122,1420,582,148
HOLX,2213,1825,1224,842,603,393,165,179,244
HD,2534,3233,1032,602,688,1013,334,223,163
HON,4239,2956,1916,1535,262,300,500,484,591
HRL,3898,1316,1396,1055,567,817,681,316,159
HST,4984,587,602,850,762,696,881,493,350
HWM,108,44,59,0,0,0,0,0,0
HPQ,6167,2299,1297,569,1041,1007,801,715,874
HUM,2515,1638,1598,1193,595,847,617,475,274
HBAN,4224,661,430,1138,689,744,786,994,539
HII,834,708,347,87,72,45,30,104,153
IEX,2518,1381,938,332,227,815,567,562,536
IDXX,1854,1530,906,796,555,710,457,294,255
INFO,0,424,256,333,264,146,104,37,0
ITW,5458,1980,1890,845,512,242,422,383,245
ILMN,1457,930,1177,597,347,213,211,62,63
INCY,2290,776,447,561,507,538,658,564,415
IR,113,515,206,0,0,0,0,0,0
INTC,3927,2276,1126,1055,803,373,175,200,270
ICE,1072,718,418,296,242,192,339,152,295
IBM,6597,339,724,956,1998,1777,1070,784,525
IFF,2938,4704,1491,508,453,485,397,271,283
IP,5867,4062,1705,1507,231,126,158,476,638
IPG,3490,2379,567,424,575,753,700,708,609
INTU,1698,2464,495,477,676,267,355,213,276
ISRG,1762,389,595,599,845,302,139,210,245
IVZ,2780,1399,451,85,171,278,447,394,295
IPGP,1396,446,79,106,279,420,222,261,245
IQV,650,0,0,216,219,267,272,81,139
IRM,2296,1493,690,542,284,236,141,207,301
JBHT,1941,2327,1960,830,495,428,572,304,415
JKHY,3741,1258,507,607,611,540,489,545,470
J,1516,1119,1328,1772,1780,1064,713,519,394
SJM,2582,1015,809,340,162,283,110,617,589
JNJ,3268,1845,1738,1778,1728,1581,803,1344,685
JCI,2727,2218,2040,532,162,220,130,98,174
JPM,2127,3165,2158,915,1062,144,164,167,303
JNPR,1853,2769,225,103,54,89,108,84,48
KSU,3965,2147,1279,622,389,411,304,530,558
K,2777,1484,2123,1399,2026,1550,320,177,135
KEY,4145,937,152,379,856,881,285,303,335
KEYS,109,184,509,155,121,103,30,112,156
KMB,3458,1530,1883,1106,498,419,293,421,597
KIM,3530,1229,400,357,476,262,303,325,367
KMI,1341,869,194,0,0,0,0,0,2
KLAC,3220,2988,1273,628,476,491,313,344,329
KSS,515,747,3264,1651,451,356,74,37,32
KHC,1,249,144,88,226,273,316,5,0
KR,2824,1595,1442,670,914,837,889,958,885
LB,2336,1821,1522,800,530,775,695,638,572
LHX,3118,988,1556,551,384,930,827,631,767
LH,1833,532,1280,953,614,659,773,547,477
LRCX,3425,1870,1310,869,216,328,462,343,336
LW,0,4,85,164,160,320,141,57,28
LVS,274,553,804,923,810,419,102,38,34
LEG,4204,828,1086,1611,697,303,472,427,577
