Stock,1,2,3,4,5,6,7,8,9
LYB,0.13966910350134668,0.02577914582531743,0.09696036937283571,0.0834936514043863,0.04732589457483648,0.08118507118122355,0.13428241631396692,0.24393997691419778,0.1473643709118892
AXP,0.11297149844793529,0.11391214373059919,0.11720440221992287,0.16705860220110996,0.14758724484996708,0.09011381807920234,0.10544633618662402,0.08700968864641144,0.05869626563822782
VZ,0.10893697083725305,0.2537158984007526,0.2041392285983067,0.1901222953904045,0.1995296331138288,0.007902163687676388,0.009219190968955786,0.01354656632173095,0.012888052681091252
AVGO,0.25300790649707805,0.3447920247507735,0.29047782743210726,0.022000687521485048,0.01959436232382262,0.02131316603643864,0.024750773461670678,0.0178755586112066,0.006187693365417669
BA,0.2509641614147305,0.13385382372307403,0.15304298748941775,0.11823911203085316,0.11212491769353777,0.0884206565704073,0.07374659016085035,0.038190198476154645,0.03141755244097451
CAT,0.22171009312388298,0.13263098485561095,0.05427523280970746,0.07854388110243628,0.10713949769541906,0.12877433919668893,0.13582917881666823,0.09453485090772269,0.04656194149186342
JPM,0.2908475213996802,0.054745555451039415,0.1736431191797573,0.16244944031605682,0.10544633618662402,0.06603329884300631,0.04317561847427335,0.052864264885711595,0.050794845263851
CVX,0.3769165647634277,0.08315304298748942,0.07741510676323958,0.12059072523751294,0.03734361772175713,0.03884865017401938,0.07525162261311259,0.09020788260746872,0.10027278713197253
KO,0.17627692597121625,0.3548114006208259,0.15812247201580285,0.16903395729470416,0.036873295080425174,0.037437682250023516,0.04279936036120779,0.009594581883171856,0.015050324522622519
ABBV,0.035837015218458515,0.0,0.037309769268532154,0.10358370152184586,0.19685812469317623,0.25920471281296026,0.10260186548846342,0.1134020618556701,0.15120274914089346
DIS,0.38566456589220205,0.20252092935753926,0.16113253692032733,0.05371084564010911,0.03931897281535133,0.026244003386323017,0.018060389427147022,0.031041294327908947,0.0823064622330919
FLT,0.48649706457925634,0.27475538160469665,0.12954990215264187,0.03209393346379648,0.021917808219178082,0.008610567514677104,0.015655577299412915,0.024657534246575342,0.0062622309197651665
EXR,0.17460018814675446,0.029727187206020696,0.02746942615239887,0.03508936970837253,0.03537158984007526,0.022389463781749764,0.04129821260583255,0.0458137347130762,0.5882408278457196
XOM,0.22283886746307968,0.036308907910826825,0.16066221427899538,0.13780453391026243,0.053804910168375505,0.09124259241839902,0.09387639920985796,0.14984479352836044,0.053616781111842725
PSX,0.044189852700491,0.6714774587115012,0.01190299062639488,0.012944502306204433,0.025889004612408867,0.03243564945692605,0.08183306055646482,0.0755839904776075,0.04374349055200119
GE,0.24522622519048068,0.28369861725143447,0.21202144671244474,0.07374659016085035,0.05314645847051077,0.04025961809801524,0.04035368262628163,0.02511522904712633,0.026432132442855798
HPQ,0.4773283160865475,0.23913452492944498,0.05475070555032926,0.009689557855126998,0.011006585136406398,0.026152398871119472,0.0380997177798683,0.057008466603951084,0.08682972718720602
HD,0.23314754443159114,0.18708591860342833,0.19749710800294457,0.12640656220422758,0.052371437585445366,0.03607109054579872,0.05247660111473341,0.04648227994531497,0.06846145756651593
IBM,0.48828896623083434,0.19132725049383878,0.1128774339196689,0.018718841125011758,0.02022387357727401,0.0101589690527702,0.028689681121249175,0.07327626751951839,0.05643871695983445
CXO,0.4759685406350131,0.08767841538013399,0.0471890474803379,0.045441304981066126,0.053306146227789106,0.033498397902709004,0.03786775415088844,0.10253422662394407,0.11651616661811827
JNJ,0.28407487536450005,0.1454237606998401,0.05559213620543693,0.09274762487066128,0.14881008371743015,0.18596557238265451,0.022669551312200168,0.025867745273257456,0.03884865017401938
MCD,0.29103565045621294,0.21616028595616593,0.11005549807167717,0.04891355469852319,0.0986736901514439,0.05371084564010911,0.0518295550747813,0.050794845263851,0.07882607468723545
MRK,0.14786943843476624,0.20035744520741228,0.1514438905088891,0.12858621014015614,0.14721098673690153,0.09810930298184554,0.05305239394224438,0.058978459223027,0.014391872824757785
MMM,0.2857680368732951,0.16329602107045432,0.0396011664001505,0.08597497883548114,0.053428652055309944,0.08578684977894836,0.10563446524315681,0.10300065845169787,0.07750917129150597
AWK,0.1975346687211094,0.20801232665639446,0.12110939907550076,0.1238828967642527,0.0970724191063174,0.021879815100154083,0.09614791987673343,0.10477657935285054,0.029583975346687212
