Symbol,Name,Sector,Score
PCAR,PACCAR Inc.,Industrials,0.1999464360946967
COST,Costco Wholesale Corp.,Consumer Staples,0.10104586249987237
FRC,First Republic Bank,Financials,0.23790299960366754
SYK,Stryker Corp.,Health Care,0.13768314019684103
TSN,Tyson Foods,Consumer Staples,0.19682164496596863
LW,Lamb Weston Holdings Inc,Consumer Staples,0.48496471685741516
AMAT,Applied Materials Inc.,Information Technology,0.1570108607383603
AAL,American Airlines Group,Industrials,0.4178685292877891
CAH,Cardinal Health Inc.,Health Care,0.27469748273128775
CERN,Cerner,Health Care,0.14608505528696125
CINF,Cincinnati Financial,Financials,0.2034129006847686
VIAC,ViacomCBS,Communication Services,0.3756550359761039
DHI,D. R. Horton,Consumer Discretionary,0.13358980168083667
FLS,Flowserve Corporation,Industrials,0.21915113821511745
EA,Electronic Arts,Communication Services,0.10605421582674837
EXPD,Expeditors,Industrials,0.1839301701705434
FAST,Fastenal Co,Industrials,0.15964659768544903
MTB,M&T Bank Corp.,Financials,0.3470277947262091
XEL,Xcel Energy Inc,Utilities,0.60301395756778
FISV,Fiserv Inc,Information Technology,0.1296301945994537
FITB,Fifth Third Bancorp,Financials,0.13518713922695072
GILD,Gilead Sciences,Health Care,0.12882279171120126
HAS,Hasbro Inc.,Consumer Discretionary,0.3528684582878207
HBAN,Huntington Bancshares,Financials,0.12777898925241965
WELL,Welltower Inc.,Real Estate,0.26258960830870304
BIIB,Biogen Inc.,Health Care,0.2140782408043732
NTRS,Northern Trust Corp.,Financials,0.2596155273200192
PKG,Packaging Corporation of America,Materials,0.23448439598276358
PAYX,Paychex Inc.,Information Technology,0.20901707278607223
PBCT,People's United Financial,Financials,0.24931405910290838
QCOM,QUALCOMM Inc.,Information Technology,0.20892837608735096
ROP,Roper Technologies,Industrials,0.10472354211369111
ROST,Ross Stores,Consumer Discretionary,0.12988995279236865
IDXX,IDEXX Laboratories,Health Care,0.06347152602585796
SBUX,Starbucks Corp.,Consumer Discretionary,0.13154031078722547
KEY,KeyCorp,Financials,0.24070088585197164
FOXA,Fox Corporation (Class A),Communication Services,0.5794795887782009
FOX,Fox Corporation (Class B),Communication Services,0.5807715670164958
STT,State Street Corp.,Financials,0.3117563922369747
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.49797297145655584
USB,U.S. Bancorp,Financials,0.2903252491995136
AOS,A.O. Smith Corp,Industrials,0.25048567908878255
NLOK,NortonLifeLock,Information Technology,0.248170948804567
TROW,T. Rowe Price Group,Financials,0.08910480720728867
WM,Waste Management Inc.,Industrials,0.2060147169840671
STZ,Constellation Brands,Consumer Staples,0.2707595805504697
XLNX,Xilinx,Information Technology,0.15771740184183775
XRAY,Dentsply Sirona,Health Care,0.16884178198931654
ZION,Zions Bancorp,Financials,0.19228479387152594
ALK,Alaska Air Group Inc,Industrials,0.290820015734641
IVZ,Invesco Ltd.,Financials,0.27404342291506584
LIN,Linde plc,Materials,0.16960535576630822
INTU,Intuit Inc.,Information Technology,0.16113907096671642
MS,Morgan Stanley,Financials,0.2092966940914851
MCHP,Microchip Technology,Information Technology,0.18355658327850033
CB,Chubb Limited,Financials,0.12992116275570786
HOLX,Hologic,Health Care,0.10829279367647124
CFG,Citizens Financial Group,Financials,0.4831391133483513
