Symbol,Name,Sector,Score
KO,Coca-Cola Company,Consumer Staples,0.0030236897074739414
CTSH,Cognizant Technology Solutions,Information Technology,0.001229400006146657
CL,Colgate-Palmolive,Consumer Staples,0.006736690286901615
CMCSA,Comcast Corp.,Communication Services,0.0010241282551280858
CMA,Comerica Inc.,Financials,0.007081449343442346
CAG,Conagra Brands,Consumer Staples,0.0009847643928562987
CXO,Concho Resources,Energy,0.006062575494924277
COP,ConocoPhillips,Energy,0.0037275171854062564
ED,Consolidated Edison,Utilities,0.004745954841561518
STZ,Constellation Brands,Consumer Staples,0.002978247509314247
CPRT,Copart Inc,Industrials,0.002087700642270618
GLW,Corning Inc.,Information Technology,0.002287557542578848
CTVA,Corteva,Materials,0.07703271365413976
COST,Costco Wholesale Corp.,Consumer Staples,0.0022915311102009086
COTY,Coty Inc,Consumer Staples,0.01690086069024591
CCI,Crown Castle International Corp.,Real Estate,0.0005276415435986958
CSX,CSX Corp.,Industrials,0.0011214727590914328
CMI,Cummins Inc.,Industrials,0.001297930642720972
CVS,CVS Health,Health Care,0.0005485502748972811
DHI,D. R. Horton,Consumer Discretionary,0.001431024126690198
DHR,Danaher Corp.,Health Care,0.0005467308420412758
DRI,Darden Restaurants,Consumer Discretionary,0.0006945525230755715
DVA,DaVita Inc.,Health Care,0.007886934579083701
DE,Deere & Co.,Industrials,0.0010600268316906236
DAL,Delta Air Lines Inc.,Industrials,0.0044210850432250225
XRAY,Dentsply Sirona,Health Care,0.005374958711204637
DVN,Devon Energy,Energy,0.0020753978540911234
DXCM,DexCom,Health Care,0.002920953754564693
FANG,Diamondback Energy,Energy,0.005697712289667901
DLR,Digital Realty Trust Inc,Real Estate,0.0006367177389304562
DFS,Discover Financial Services,Financials,0.004077703642970209
DISCA,Discovery Inc. (Class A),Communication Services,0.008719073880229177
DISCK,Discovery Inc. (Class C),Communication Services,0.011423074059984415
DISH,Dish Network,Communication Services,0.004635525413475646
DG,Dollar General,Consumer Discretionary,0.0029742152535645744
DLTR,Dollar Tree,Consumer Discretionary,0.004883350698881616
D,Dominion Energy,Utilities,0.0029882443181831627
DPZ,Domino's Pizza,Consumer Discretionary,0.003112255075517474
DOV,Dover Corporation,Industrials,0.0007308412227504079
DOW,Dow Inc.,Materials,0.0438683436707216
DTE,DTE Energy Co.,Utilities,0.003048625698395902
DUK,Duke Energy,Utilities,0.0009363141666125113
DRE,Duke Realty Corp,Real Estate,0.005520534496072769
DD,DuPont de Nemours Inc,Materials,0.000431963348830978
DXC,DXC Technology,Information Technology,0.003767431187484568
ETFC,E*Trade,Financials,0.000975837414371896
EMN,Eastman Chemical,Materials,0.004798113918409252
ETN,Eaton Corporation,Industrials,0.0015646377283244101
EBAY,eBay Inc.,Consumer Discretionary,0.0008309856353247132
ECL,Ecolab Inc.,Materials,0.004800155153575112
EIX,Edison Int'l,Utilities,0.0022678341176365943
EW,Edwards Lifesciences,Health Care,0.0017370714738829723
EA,Electronic Arts,Communication Services,0.0010301886238197196
EMR,Emerson Electric Company,Industrials,0.0009140167221793178
ETR,Entergy Corp.,Utilities,0.0006090389364179223
EOG,EOG Resources,Energy,0.005185129760056384
EFX,Equifax Inc.,Industrials,0.0027424183851310607
EQIX,Equinix,Real Estate,0.0021155413189321436
EQR,Equity Residential,Real Estate,0.0025980307205555886
ESS,Essex Property Trust Inc.,Real Estate,0.0013938102513333809
EL,Estée Lauder Companies,Consumer Staples,0.010328277488258764
RE,Everest Re Group Ltd.,Financials,0.003585706768184407
EVRG,Evergy,Utilities,0.0030218655679475816
ES,Eversource Energy,Utilities,0.0011919928296408118
EXC,Exelon Corp.,Utilities,0.004325271768069317
EXPE,Expedia Group,Consumer Discretionary,0.0015163937981255106
EXPD,Expeditors,Industrials,0.004082409376441078
EXR,Extra Space Storage,Real Estate,0.004630343715803297
XOM,Exxon Mobil Corp.,Energy,0.0023646378164330875
FFIV,F5 Networks,Information Technology,0.003940344940303418
FB,Facebook Inc.,Communication Services,0.006883344216373622
FAST,Fastenal Co,Industrials,0.0014483645782582466
FRT,Federal Realty Investment Trust,Real Estate,0.0030146312499239637
FDX,FedEx Corporation,Industrials,0.003265772675687273
FIS,Fidelity National Information Services,Information Technology,0.005441866171197979
FITB,Fifth Third Bancorp,Financials,0.0021206786444243706
FRC,First Republic Bank,Financials,0.006249836661801325
FE,FirstEnergy Corp,Utilities,0.009797556450293326
FISV,Fiserv Inc,Information Technology,0.0018432715799338018
FLT,FleetCor Technologies Inc,Information Technology,0.006604968984205413
FLIR,FLIR Systems,Information Technology,0.002815858180280701
FLS,Flowserve Corporation,Industrials,0.005970176373555843
FMC,FMC Corporation,Materials,0.006973735698724974
F,Ford Motor Company,Consumer Discretionary,0.0005032366340028807
FTNT,Fortinet,Information Technology,0.004558177270183047
FTV,Fortive Corp,Industrials,0.03517568253432395
FBHS,Fortune Brands Home & Security,Industrials,0.014191939926104149
FOXA,Fox Corporation (Class A),Communication Services,0.0475851768979325
FOX,Fox Corporation (Class B),Communication Services,0.04683045762877792
BEN,Franklin Resources,Financials,0.004134992231520441
FCX,Freeport-McMoRan Inc.,Materials,0.0008949191855151055
GPS,Gap Inc.,Consumer Discretionary,0.005184848261536014
GRMN,Garmin Ltd.,Consumer Discretionary,0.0016736878938821797
IT,Gartner Inc,Information Technology,0.0022952400510852797
GD,General Dynamics,Industrials,0.0010614032976724447
GE,General Electric,Industrials,0.007121679917550801
GIS,General Mills,Consumer Staples,0.0008788029479185866
GM,General Motors,Consumer Discretionary,0.02396217970877735
GPC,Genuine Parts,Consumer Discretionary,0.0006290521491278908
GILD,Gilead Sciences,Health Care,0.00212139609964896
GPN,Global Payments Inc.,Information Technology,0.003416135205344321
GL,Globe Life Inc.,Financials,0.0006085463427491979
GS,Goldman Sachs Group,Financials,0.007806413859404834
GWW,Grainger (W.W.) Inc.,Industrials,0.0015419433236720946
HRB,H&R Block,Consumer Discretionary,0.0035105063310999487
HAL,Halliburton Co.,Energy,0.00309300161114839
HBI,Hanesbrands Inc,Consumer Discretionary,0.0042006487260101725
HIG,Hartford Financial Svc.Gp.,Financials,0.006767955547109002
HAS,Hasbro Inc.,Consumer Discretionary,0.0010100913730995058
HCA,HCA Healthcare,Health Care,0.0029113518533616213
PEAK,Healthpeak Properties,Real Estate,0.002442963757135604
HSIC,Henry Schein,Health Care,0.004195579679338183
HES,Hess Corporation,Energy,0.002831113652530187
HPE,Hewlett Packard Enterprise,Information Technology,0.03264543136123202
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0.01974688852043202
HFC,HollyFrontier Corp,Energy,0.001774223073168827
HOLX,Hologic,Health Care,0.0008691825348948988
HD,Home Depot,Consumer Discretionary,0.0033970714143970312
HON,Honeywell Int'l Inc.,Industrials,0.00122266532817532
HRL,Hormel Foods Corp.,Consumer Staples,0.0012310863607492418
HST,Host Hotels & Resorts,Real Estate,0.006073442927462153
HWM,Howmet Aerospace,Industrials,0.010848860396472938
HPQ,HP Inc.,Information Technology,0.0021174857286561694
HUM,Humana Inc.,Health Care,0.0005733578577228097
HBAN,Huntington Bancshares,Financials,0.0038807891130030092
HII,Huntington Ingalls Industries,Industrials,0.003156993178611355
IEX,IDEX Corporation,Industrials,0.0009281954441407757
IDXX,IDEXX Laboratories,Health Care,0.0005225756262187669
INFO,IHS Markit Ltd.,Industrials,0.014028270673420998
ITW,Illinois Tool Works,Industrials,0.00342817930472988
ILMN,Illumina Inc,Health Care,0.0017679459508384064
INCY,Incyte,Health Care,0.0013173345143741486
IR,Ingersoll Rand,Industrials,0.02948510581723004
INTC,Intel Corp.,Information Technology,0.0014931036623800791
ICE,Intercontinental Exchange,Financials,0.0004081945775054094
IBM,International Business Machines,Information Technology,0.006418584350641518
IFF,International Flavors & Fragrances,Materials,0.0069667121887425475
IP,International Paper,Materials,0.003245283081976957
IPG,Interpublic Group,Communication Services,0.0015572042081764084
INTU,Intuit Inc.,Information Technology,0.004528127238184562
ISRG,Intuitive Surgical Inc.,Health Care,0.0023494440318789942
IVZ,Invesco Ltd.,Financials,0.0039014565060144593
IPGP,IPG Photonics Corp.,Information Technology,0.0035449724183025865
IQV,IQVIA Holdings Inc.,Health Care,0.007360536356867817
IRM,Iron Mountain Incorporated,Real Estate,0.0014326210601021678
JBHT,J. B. Hunt Transport Services,Industrials,0.0025546372937495353
JKHY,Jack Henry & Associates,Information Technology,0.002491675512898358
J,Jacobs Engineering Group,Industrials,0.00491481722301414
SJM,JM Smucker,Consumer Staples,0.0022963469105153687
JNJ,Johnson & Johnson,Health Care,0.0015804767951171216
JCI,Johnson Controls International,Industrials,0.0037644106900308247
JPM,JPMorgan Chase & Co.,Financials,0.004524542132429969
JNPR,Juniper Networks,Information Technology,0.016009417567744665
KSU,Kansas City Southern,Industrials,0.001488858857004619
K,Kellogg Co.,Consumer Staples,0.002900517445685675
KEY,KeyCorp,Financials,0.006762298737963303
KEYS,Keysight Technologies,Information Technology,0.012008175748113956
KMB,Kimberly-Clark,Consumer Staples,0.0009452579023447279
KIM,Kimco Realty,Real Estate,0.0048010709655211025
KMI,Kinder Morgan,Energy,0.014451725644594758
KLAC,KLA Corporation,Information Technology,0.002076501035970363
KSS,Kohl's Corp.,Consumer Discretionary,0.021456687164844848
KHC,Kraft Heinz Co,Consumer Staples,0.017687310575590073
KR,Kroger Co.,Consumer Staples,0.0008222770473561933
LB,L Brands Inc.,Consumer Discretionary,0.0007024229331904477
LHX,L3Harris Technologies,Industrials,0.0014610308771034692
LH,Laboratory Corp. of America Holding,Health Care,0.00229051661838082
LRCX,Lam Research,Information Technology,0.0012027355605819955
LW,Lamb Weston Holdings Inc,Consumer Staples,0.02378736081150716
LVS,Las Vegas Sands,Consumer Discretionary,0.011241667496909701
LEG,Leggett & Platt,Consumer Discretionary,0.003025137962684683
LDOS,Leidos Holdings,Information Technology,0.017968624930710986
LEN,Lennar Corp.,Consumer Discretionary,0.0037830928793573613
LLY,Lilly (Eli) & Co.,Health Care,0.007444247774414999
LNC,Lincoln National,Financials,0.0011217414567105729
LIN,Linde plc,Materials,0.004375293058227964
LYV,Live Nation Entertainment,Communication Services,0.0031417052764556846
LKQ,LKQ Corporation,Consumer Discretionary,0.006846092897240329
LMT,Lockheed Martin Corp.,Industrials,0.0027832531841268785
L,Loews Corp.,Financials,0.003832072366227916
LOW,Lowe's Cos.,Consumer Discretionary,0.0007982872076560542
LYB,LyondellBasell,Materials,0.009594053842836701
MTB,M&T Bank Corp.,Financials,0.00042184182209708794
MRO,Marathon Oil Corp.,Energy,0.0011952425651021656
MPC,Marathon Petroleum,Energy,0.00881421411146193
MKTX,MarketAxess,Financials,0.0018347367403628188
MAR,Marriott Int'l.,Consumer Discretionary,0.0014999798219577868
MMC,Marsh & McLennan,Financials,0.0015955185004756386
MLM,Martin Marietta Materials,Materials,0.0011820609429228006
MAS,Masco Corp.,Industrials,0.002772519825356152
MA,Mastercard Inc.,Information Technology,0.0013502086336963962
MXIM,Maxim Integrated Products Inc,Information Technology,0.003253364988248245
MKC,McCormick & Co.,Consumer Staples,0.0027172952443892313
MCD,McDonald's Corp.,Consumer Discretionary,0.0016321283433052896
MCK,McKesson Corp.,Health Care,0.000782199231011668
MDT,Medtronic plc,Health Care,0.005173986904690103
MRK,Merck & Co.,Health Care,0.007495247183993189
MET,MetLife Inc.,Financials,0.008886131681418186
MTD,Mettler Toledo,Health Care,0.0022722472483095845
MGM,MGM Resorts International,Consumer Discretionary,0.001006412834764882
MCHP,Microchip Technology,Information Technology,0.0007368018865185526
MU,Micron Technology,Information Technology,0.0022260278720030906
MSFT,Microsoft Corp.,Information Technology,0.0041677911030747515
MAA,Mid-America Apartments,Real Estate,0.0030871183830331315
MHK,Mohawk Industries,Consumer Discretionary,0.0009578460564270342
TAP,Molson Coors Beverage Company,Consumer Staples,0.005340742647656865
MDLZ,Mondelez International,Consumer Staples,0.008675378393708834
MNST,Monster Beverage,Consumer Staples,0.004216742236839235
MCO,Moody's Corp,Financials,0.0007753124696061566
MS,Morgan Stanley,Financials,0.008097721966612521
MSI,Motorola Solutions Inc.,Information Technology,0.0030240567499439115
MSCI,MSCI Inc,Financials,0.006307431800769401
MYL,Mylan N.V.,Health Care,0.0014758946138869388
NDAQ,Nasdaq Inc.,Financials,0.002109816817249496
NOV,National Oilwell Varco Inc.,Energy,0.0023773881302507857
NTAP,NetApp,Information Technology,0.0030000210574159377
NFLX,Netflix Inc.,Communication Services,0.0028625097257435356
NWL,Newell Brands,Consumer Discretionary,0.004708841898531891
NEM,Newmont Corporation,Materials,0.005427405155308611
NWSA,News Corp. Class A,Communication Services,0.05893463518407977
NWS,News Corp. Class B,Communication Services,0.05946115506015946
NEE,NextEra Energy,Utilities,0.0015591647888280463
NLSN,Nielsen Holdings,Industrials,0.02438011204535079
NKE,Nike Inc.,Consumer Discretionary,0.0009091527233051267
NI,NiSource Inc.,Utilities,0.006936310183988834
NBL,Noble Energy,Energy,0.0007064031670496751
NSC,Norfolk Southern Corp.,Industrials,0.0021790826207553323
NTRS,Northern Trust Corp.,Financials,0.005624210510933431
NOC,Northrop Grumman,Industrials,0.0039456448760945275
NLOK,NortonLifeLock,Information Technology,0.03055866527864706
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0.026451576613084466
NRG,NRG Energy,Utilities,0.007411231460380545
NUE,Nucor Corp.,Materials,0.005757924571766701
NVDA,Nvidia Corporation,Information Technology,0.006018995560137754
NVR,NVR Inc.,Consumer Discretionary,0.002583316865715989
ORLY,O'Reilly Automotive,Consumer Discretionary,0.0030776821489246864
OXY,Occidental Petroleum,Energy,0.009001377768845513
ODFL,Old Dominion Freight Line,Industrials,0.0048177490089364
OMC,Omnicom Group,Communication Services,0.002893550454622451
OKE,ONEOK,Energy,0.0007702948776478186
ORCL,Oracle Corp.,Information Technology,0.001510110975167906
OTIS,Otis Worldwide,Industrials,0.03833268728668617
PCAR,PACCAR Inc.,Industrials,0.001110796726382309
PKG,Packaging Corporation of America,Materials,0.00807249558882574
PH,Parker-Hannifin,Industrials,0.0016959895354296639
PAYX,Paychex Inc.,Information Technology,0.001253242312256815
PAYC,Paycom,Information Technology,0.0013054786645339469
PYPL,PayPal,Information Technology,0.006318422314759641
PNR,Pentair plc,Industrials,0.0011849827287935739
PBCT,People's United Financial,Financials,0.0037836436541543537
PEP,PepsiCo Inc.,Consumer Staples,0.0034934019248038456
PKI,PerkinElmer,Health Care,0.0034266248425957706
PRGO,Perrigo,Health Care,0.006945353117767149
PFE,Pfizer Inc.,Health Care,0.00575210251140559
PM,Philip Morris International,Consumer Staples,0.015727335997565588
PSX,Phillips 66,Energy,0.016434073323796775
PNW,Pinnacle West Capital,Utilities,0.0028205897091098104
PXD,Pioneer Natural Resources,Energy,0.0033392996459646893
PNC,PNC Financial Services,Financials,0.001972624398761358
PPG,PPG Industries,Materials,0.003780712868335415
PPL,PPL Corp.,Utilities,0.001364343369220315
PFG,Principal Financial Group,Financials,0.004339841717641174
PG,Procter & Gamble,Consumer Staples,0.004443022939623649
PGR,Progressive Corp.,Financials,0.0017864115235402772
PLD,Prologis,Real Estate,0.00256685556495199
PRU,Prudential Financial,Financials,0.00791069375330848
PEG,Public Service Enterprise Group (PSEG),Utilities,0.003231964270462546
PSA,Public Storage,Real Estate,0.0033032508434609137
PHM,PulteGroup,Consumer Discretionary,0.00015986436548073935
PVH,PVH Corp.,Consumer Discretionary,0.0013825766016399728
QRVO,Qorvo,Information Technology,0.01888295580656257
QCOM,QUALCOMM Inc.,Information Technology,0.002510455443964493
PWR,Quanta Services Inc.,Industrials,0.007077407586399602
DGX,Quest Diagnostics,Health Care,0.011007152224938305
RL,Ralph Lauren Corporation,Consumer Discretionary,0.00292046269375034
RJF,Raymond James Financial Inc.,Financials,0.0003741818831650265
RTX,Raytheon Technologies,Industrials,0.0004501959551148981
O,Realty Income Corporation,Real Estate,0.001899606912174114
REG,Regency Centers Corporation,Real Estate,0.00544165466861676
REGN,Regeneron Pharmaceuticals,Health Care,0.0006520052741020537
RF,Regions Financial Corp.,Financials,0.0020103006758763493
RSG,Republic Services Inc,Industrials,0.0029222342203414032
RMD,ResMed,Health Care,0.000875451027436966
RHI,Robert Half International,Industrials,0.000615404013184154
ROK,Rockwell Automation Inc.,Industrials,0.000438611667757266
ROL,Rollins Inc.,Industrials,0.0006940028646965434
ROP,Roper Technologies,Industrials,0.0008564061915531683
ROST,Ross Stores,Consumer Discretionary,0.000784530249121983
RCL,Royal Caribbean Group,Consumer Discretionary,0.001805695984429525
SPGI,S&P Global Inc.,Financials,0.002827488042379547
CRM,Salesforce.com,Information Technology,0.002090055277145753
SBAC,SBA Communications,Real Estate,0.001615632791193147
SLB,Schlumberger Ltd.,Energy,0.001931104140944829
STX,Seagate Technology,Information Technology,0.0008301630358743049
SEE,Sealed Air,Materials,0.004629607270948452
SRE,Sempra Energy,Utilities,0.002493203318152303
NOW,ServiceNow,Information Technology,0.002346351810527553
SHW,Sherwin-Williams,Materials,0.0003499198018805908
SPG,Simon Property Group Inc,Real Estate,0.0040507271031055775
SWKS,Skyworks Solutions,Information Technology,0.001145864597760855
SLG,SL Green Realty,Real Estate,0.004630553893852262
SNA,Snap-on,Industrials,0.003045594338183871
SO,Southern Company,Utilities,0.0006962224673526409
LUV,Southwest Airlines,Industrials,0.003222225070318789
SWK,Stanley Black & Decker,Industrials,0.0002116990494789322
SBUX,Starbucks Corp.,Consumer Discretionary,0.00146959181903696
STT,State Street Corp.,Financials,0.005196665557230112
STE,STERIS plc,Health Care,0.0025876849878823964
SYK,Stryker Corp.,Health Care,0.0010418583797106326
SIVB,SVB Financial,Financials,0.0017103882343032473
SYF,Synchrony Financial,Financials,0.03685851678464359
SNPS,Synopsys Inc.,Information Technology,0.005022284742596259
SYY,Sysco Corp.,Consumer Staples,0.004610025597473487
TMUS,T-Mobile US,Communication Services,0.001737049761890159
TROW,T. Rowe Price Group,Financials,0.0015014255120633373
TTWO,Take-Two Interactive,Communication Services,0.004811988616585368
TPR,Tapestry Inc.,Consumer Discretionary,0.00917762580904165
TGT,Target Corp.,Consumer Discretionary,0.001299817953467868
TEL,TE Connectivity Ltd.,Information Technology,0.008048617078408435
FTI,TechnipFMC,Energy,0.00734598190079858
TDY,Teledyne Technologies,Industrials,0.0011927803982378752
TFX,Teleflex,Health Care,0.0014889732965294225
TXN,Texas Instruments,Information Technology,0.003099984558007541
TXT,Textron Inc.,Industrials,0.0012991658841970408
BK,The Bank of New York Mellon,Financials,0.011192425530459696
CLX,The Clorox Company,Consumer Staples,0.001062596149814184
COO,The Cooper Companies,Health Care,0.0010908557063426041
HSY,The Hershey Company,Consumer Staples,0.0008853669836172587
MOS,The Mosaic Company,Materials,0.0030402013828929987
TRV,The Travelers Companies Inc.,Financials,0.002441125431812646
DIS,The Walt Disney Company,Communication Services,0.00075891294372728
TMO,Thermo Fisher Scientific,Health Care,0.001046632623889601
TIF,Tiffany & Co.,Consumer Discretionary,0.004656074102412215
TJX,TJX Companies Inc.,Consumer Discretionary,0.002167182429380125
TSCO,Tractor Supply Company,Consumer Discretionary,0.004947878999688215
TT,Trane Technologies plc,Industrials,0.0008556156774746589
