Stock,1,2,3,4,5,6,7,8,9
PEAK,3111,2008,2002,463,421,709,246,112,152
CTLT,2,638,305,377,156,28,48,51,4
FTV,0,0,0,49,202,248,482,141,0
HSY,2946,1373,1947,653,986,812,332,525,1056
SYF,51,591,965,2,0,0,0,0,0
HRL,1036,1795,1673,1096,571,421,470,418,531
AJG,709,2219,1158,1259,775,519,677,803,447
MDLZ,0,225,587,983,361,0,0,0,0
CNP,5969,2593,289,12,19,75,825,605,243
HUM,2831,1828,1096,788,961,1087,991,527,521
WLTW,1114,122,0,0,0,0,0,0,0
ITW,2634,1086,1460,1875,1048,411,565,857,694
CDW,379,245,364,262,141,156,112,165,70
TT,2768,2959,1024,995,674,714,734,378,384
IPG,4157,2116,1140,576,515,163,459,714,790
IFF,2830,966,2347,1744,747,644,365,495,492
J,790,750,831,1425,1401,1208,743,510,375
HBI,936,892,268,71,255,673,349,167,74
K,1274,1891,2465,1495,1493,1324,535,128,25
BR,1091,1186,208,178,317,262,104,57,126
PRGO,750,5,8,194,267,72,254,229,130
KMB,2954,1368,817,1256,1938,1566,233,187,311
KIM,3476,1778,555,328,199,98,262,565,267
ORCL,0,0,521,855,500,6,0,0,0
KR,4308,2758,1397,562,164,161,358,426,496
LEG,2495,3487,1577,1594,556,171,177,248,325
LEN,3212,954,1326,1777,1096,616,702,507,440
LLY,2600,329,2156,769,1629,966,1050,834,297
LB,3311,1952,610,822,538,500,569,936,756
CHTR,612,485,635,204,243,208,87,125,22
LNC,2559,1714,1049,1956,1723,892,445,159,133
L,2862,803,1462,2156,945,267,674,672,789
LOW,2217,2698,1062,1061,385,757,1033,794,623
HST,4688,895,28,101,312,348,1446,523,433
XRX,2204,4467,2308,783,352,234,177,44,61
IEX,3196,1189,1595,444,267,204,749,293,236
MMC,2723,2374,1687,1159,1083,375,214,563,452
MAS,4503,2634,1309,525,251,422,425,199,362
SPGI,1727,1777,1657,1030,1108,900,1068,860,503
MDT,1696,627,1333,2425,2001,748,773,661,366
CVS,2463,1846,1492,823,524,882,1162,731,707
DD,1189,1710,1523,1917,1292,1082,866,413,638
MU,645,396,375,434,345,175,183,134,118
MSI,3239,736,693,670,1080,1958,1038,688,528
CBOE,567,634,129,178,300,433,89,117,239
MYL,805,769,616,520,262,34,56,0,5
LH,1917,411,740,689,396,617,801,568,493
NEM,1820,2645,2690,2250,878,313,31,3,0
NKE,2258,1215,456,412,1255,873,562,429,355
NI,1540,3524,560,461,643,879,1176,1046,801
NSC,2996,2171,862,419,780,931,828,380,616
PFG,0,19,50,168,396,63,31,0,0
ES,3439,3738,716,605,639,348,194,554,397
NOC,2956,1718,1512,1143,1078,1076,724,242,181
WFC,2698,2970,1515,981,1244,491,168,237,326
NUE,4064,1098,990,1879,1243,689,176,139,352
PVH,4728,859,983,722,775,621,565,642,735
OXY,4983,302,248,526,331,684,1093,1086,1377
OMC,495,527,1339,2199,892,620,1134,488,43
OKE,1480,1436,2969,1041,1028,850,683,478,420
RJF,2231,1483,1376,707,898,349,533,808,608
PH,3036,1193,1410,850,730,854,788,1173,596
ROL,4120,1408,1744,1256,645,350,141,320,646
PPL,2787,2474,1983,941,541,142,195,699,868
COP,2477,945,929,2004,1762,1329,423,318,443
PHM,3284,2236,1647,768,432,202,286,435,430
PNW,1203,1361,1832,2071,703,306,510,445,291
PNC,1490,1662,826,1036,1835,1371,722,550,1138
PPG,3510,2848,2075,686,272,143,207,279,610
PGR,2724,2438,1039,261,333,420,641,546,295
PEG,4092,1269,1980,1169,750,580,436,253,101
RHI,1519,2583,1426,785,749,366,124,150,305
EIX,3405,1947,998,1005,965,1030,664,273,343
SLB,3294,1209,1158,410,310,1071,1316,1142,720
SCHW,3879,1344,1394,666,371,150,237,311,264
SHW,2500,2518,1336,1086,825,905,514,746,200
WST,2023,1809,1249,1075,1275,1163,821,547,455
SJM,2199,1955,791,1080,581,267,348,146,198
SNA,2789,3206,1751,912,485,470,396,295,326
AME,1387,781,861,965,877,249,454,270,199
SO,2331,871,2455,2243,792,662,658,488,130
TFC,1021,1303,3181,1174,384,62,93,163,180
LUV,4625,505,668,988,1250,618,467,778,731
WRB,1515,1322,639,461,361,344,312,41,65
SWK,3245,1677,873,1527,1002,607,724,513,462
PSA,1785,2532,661,237,218,288,476,306,267
ANET,259,656,37,0,27,291,187,139,52
SYY,1909,2230,2485,523,922,1129,581,430,147
CTVA,0,321,32,0,0,0,0,0,0
TXN,644,151,296,347,352,102,144,112,133
TXT,1559,2325,2302,1607,943,931,383,323,257
TMO,3548,2370,1422,901,1099,369,227,295,229
TIF,1168,888,2162,1221,700,824,500,509,744
TJX,1014,974,1563,1345,1623,817,687,372,283
GL,2812,1944,1008,485,828,611,905,968,418
JCI,2094,2425,2757,1979,390,233,303,241,209
ULTA,952,1141,268,57,89,136,77,258,396
UNP,4219,743,1155,1280,885,752,430,528,638
KEYS,117,190,529,161,126,107,31,114,177
UNH,1284,1772,835,844,1340,675,499,239,71
UNM,2217,3304,1574,588,631,278,94,89,69
MRO,5118,1200,1028,118,888,572,478,775,453
VAR,3536,1232,1328,1232,1067,853,821,327,234
BIO,1546,475,313,83,61,92,92,113,338
VTR,1988,1037,943,934,1098,822,270,136,248
VFC,2912,727,1540,776,1689,1179,586,770,451
VNO,1694,1544,1095,1049,1174,1836,1363,655,220
VMC,3882,413,1368,2055,1111,707,364,423,307
WY,3822,3600,1375,0,0,93,519,457,764
WHR,2714,1605,978,789,1484,1247,733,751,329
WMB,2059,2959,2865,1229,475,311,340,198,194
WEC,4016,1242,493,625,373,521,194,593,746
ADBE,2038,1958,2035,1117,448,329,387,219,250
AES,4024,874,243,218,156,154,137,186,258
AMGN,3173,541,230,744,1902,1510,661,575,250
AAPL,2202,2087,2404,1419,635,388,238,239,271
ADSK,1857,748,1644,1098,1152,946,542,535,514
CTAS,1927,1896,1871,2221,357,164,227,482,411
CMCSA,3823,1658,1506,569,203,272,396,590,674
TAP,106,876,1424,1342,715,275,377,225,284
KLAC,1750,1446,1608,1914,1559,628,334,156,266
MAR,755,0,0,77,90,279,333,185,93
MKC,1323,810,1626,365,166,400,389,150,342
PCAR,1227,1140,1695,1830,1366,1085,361,469,338
COST,1837,716,1147,1018,692,475,446,416,281
FRC,390,191,483,187,309,261,116,121,501
SYK,1599,770,426,953,822,598,223,213,445
TSN,3135,688,261,298,214,593,285,278,236
LW,0,1,86,166,170,307,191,61,39
AMAT,3967,2146,1096,1185,630,360,148,164,125
AAL,136,194,612,635,184,0,0,0,16
CAH,591,774,1005,2300,796,297,438,426,173
CERN,2068,1729,1288,663,1126,1156,439,87,205
CINF,1694,1053,2257,1705,812,626,924,159,81
VIAC,55,100,36,23,0,0,0,0,0
DHI,1640,1762,1121,732,457,212,187,133,225
FLS,826,491,915,1415,882,460,574,289,198
EA,2255,1325,507,807,1171,547,481,534,459
EXPD,1905,796,1181,2158,1191,323,744,553,345
FAST,1835,2920,1370,641,303,325,488,334,415
MTB,2758,0,67,473,312,273,584,958,402
XEL,0,0,0,239,164,288,25,0,0
FISV,3265,931,601,1140,718,357,487,679,696
FITB,2780,1898,1510,1412,771,409,114,171,336
GILD,1836,1427,637,638,340,754,961,617,275
HAS,279,0,409,346,333,103,369,355,357
HBAN,3485,2105,391,902,878,684,329,360,527
WELL,510,2256,1075,973,753,920,550,185,27
BIIB,911,1577,1792,1277,952,515,129,246,177
NTRS,1104,338,1313,1665,1602,1092,673,671,628
PKG,1791,1984,175,124,124,426,252,173,344
PAYX,963,1674,2596,1125,792,943,610,467,256
PBCT,4989,519,224,722,814,403,294,213,232
QCOM,1004,998,1456,1169,1097,937,589,181,83
ROP,2599,1084,714,500,457,330,147,215,192
ROST,1544,1504,1297,1163,1040,1094,670,382,404
IDXX,1925,1581,952,828,576,735,475,309,257
SBUX,1868,923,691,644,1376,481,635,454,301
KEY,2852,1762,1407,16,110,187,298,515,180
FOXA,0,143,257,5,0,0,0,0,0
FOX,1,144,258,2,0,0,0,0,0
STT,481,291,852,1579,1016,1094,834,272,267
NCLH,132,9,9,134,430,4,1,4,3
USB,1131,3965,2181,1599,1194,333,126,36,65
AOS,549,1188,1027,1691,1042,594,272,173,194
NLOK,3454,2998,607,184,241,148,177,228,121
TROW,3246,1156,793,713,666,816,766,525,319
WM,1250,1665,2207,787,404,174,213,242,154
STZ,2744,1622,135,60,130,309,118,237,116
XLNX,1368,2241,1307,1224,331,318,362,372,383
XRAY,1234,1144,1583,960,1241,1070,561,496,317
ZION,1143,1721,1395,1516,1764,738,475,320,354
ALK,1153,260,1177,1801,1623,1810,1065,514,407
IVZ,2366,2195,1256,225,2,47,235,134,88
LIN,3032,1700,319,313,332,243,480,564,397
INTU,1511,2588,788,358,677,390,318,314,244
MS,970,1232,1405,1794,658,367,448,222,105
MCHP,958,1602,1813,856,342,302,436,448,426
CB,2332,487,1183,761,868,437,383,319,409
HOLX,2292,1889,1265,874,633,420,178,173,255
CFG,52,665,638,215,0,0,0,0,0
ORLY,1684,1696,1800,702,278,296,216,266,220
ALL,1015,974,1625,1065,953,694,156,193,454
